%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
6482501000,6482500000,4.571261343223387,-0.09393054632167316,0.5744816549924543,-0.019775136699478807,-0.042275735741789236,-0.07692860137382812,0.9959436211084812,0.8692092000732698,0.12946296134422897,-0.6522534348235892,-0.07788158199568503,0.5117071826370109,0.48341338402880624,-5.929089085010882,-2.78141597858309,4.456745388628423,2.7593402065634454,14.846780221114717,4.468360466700113,4.881642414838214,0.13194417201719155,-1.9267962559523515e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.871778776659112,-0.44032588697667435,0.00012173187449085465,0.1710970907861542,-0.021622156753421606,-0.13619324263130572,-94.77736581020307,11.977357714259325,75.24247493881184,4.315688656890756,0.2149950075540479,-1.8446077192168676e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.411232036931454,-0.3729356403749605,8.488334721837298e-05,0.24139449681597291,-0.004533479315618427,-0.09496723160016618,-133.71784654061196,2.511271381167898,52.466402925907175,-207.14599201702336,-49.29813926652615,610.8967923091787,0.0,0.0,0.0,-134.45562670361724,-272.8803427364255,410.8281337344722,0.0,0.0,0.0,1,0,1,0
6485001000,6485000000,4.5734158839099575,-0.09361556530777794,0.57286516563311,-0.01989301313759335,-0.041634917117854,-0.07630277111232468,0.996016409917767,0.8544427949101115,0.1225285198672416,-0.6408519666758216,-0.07117884202736639,0.548603475896713,0.49454987401992184,-5.8824193400769795,-2.7654077497655747,4.663351730953561,2.6035967024299,14.664885380883488,4.441421477686312,4.881642414838214,0.13194417201719155,-1.9267962559523515e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.871931573806829,-0.44034519650358817,6.4490691184898745e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.315688656890756,0.2149950075540479,-1.8446077192168676e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.411447612721894,-0.3729396889692731,-1.485936832032136e-12,0.0,0.0,0.0,0.0,0.0,0.0,-191.19817355095256,-50.75971263446073,603.4161047947625,-0.37400451705068144,-0.1384882169044332,0.7604027852175208,-144.29913819264604,-256.15448871313924,410.81797426437913,0.025447456645716203,0.0016301007824286505,0.1254537216056183,1,1,1,1
6487501000,6487500000,4.575533664524732,-0.09331786581277741,0.5712778188552132,-0.020005685736783737,-0.040948080985014235,-0.07566247748922397,0.9960914700478257,0.8398051819000656,0.11563956986160076,-0.6289420631619713,-0.06485979018590055,0.5850047645455055,0.5056234352632764,-5.826055362520843,-2.7450228015058546,4.863493681494246,2.4524234168387777,14.450776620018704,4.418014785804831,4.881642414838214,0.13194417201719155,-1.9267962559523515e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.871931573806829,-0.44034519650358817,6.4490691184898745e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.315688656890756,0.2149950075540479,-1.8446077192168676e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.411447612721894,-0.3729396889692731,-1.485936832032136e-12,0.0,0.0,0.0,0.0,0.0,0.0,-175.6993207728995,-51.71517510756017,596.0663962192012,-7.170581705604591,-2.672380786893565,14.636465039456143,-154.60733079736272,-237.24564357657482,409.66510963904784,0.4962990042247787,0.03397471246175149,2.4402274164348263,1,1,1,1
6490001000,6490000000,4.577615037342571,-0.0930373204307449,0.5697208655459551,-0.020113555276471656,-0.0402159287319345,-0.0750077700912089,0.9961686395366562,0.8253205966246879,0.10880705312591203,-0.6165398852615,-0.05891274483264111,0.6208305153749424,0.516642874411871,-5.759997152342476,-2.7202611338039313,5.057171240250479,2.306026521779849,14.204455588714925,4.398119533568442,4.881642414838214,0.13194417201719155,-1.9267962559523515e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.871931573806829,-0.44034519650358817,6.4490691184898745e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.315688656890756,0.2149950075540479,-1.8446077192168676e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.411447612721894,-0.3729396889692731,-1.485936832032136e-12,0.0,0.0,0.0,0.0,0.0,0.0,-160.70819102371865,-52.20402426960463,588.8612023855021,-21.795913698384,-8.179297085681696,44.67782513556703,-165.39084156933674,-216.07762245539448,407.32189381758667,1.5360285943206238,0.11215945819466817,7.531606741391513,1,1,1,1
6492501000,6492500000,4.579660415227287,-0.0927737744012573,0.5681955161900778,-0.020217000383476492,-0.03943926056399851,-0.07433869072456652,0.9962477486463981,0.8110132746655341,0.10204191145878089,-0.6036615939538689,-0.0533254992058374,0.6560002021369888,0.5276169341190629,-5.684244709541876,-2.6911227466598033,5.24438440722226,2.164619926672729,13.925926212223313,4.381705395420245,4.881642414838214,0.13194417201719155,-1.9267962559523515e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.871931573806829,-0.44034519650358817,6.4490691184898745e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.315688656890756,0.2149950075540479,-1.8446077192168676e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.411447612721894,-0.3729396889692731,-1.485936832032136e-12,0.0,0.0,0.0,0.0,0.0,0.0,-146.2835416442643,-52.26575770437425,581.814059096672,-43.32105352630244,-16.377426526045344,89.20400840217758,-176.66030756010764,-192.57424047831682,403.74068075910975,3.1117818264896795,0.2419592547753868,15.214222524307415,1,1,1,1
6495001000,6495000000,4.581670271631647,-0.09252704560939493,0.5667029408698749,-0.020316377115987126,-0.0386189755268016,-0.07365527361381452,0.9963286205961441,0.7969074516041593,0.09535508665881273,-0.5903233502185385,-0.04808530220315216,0.6904333112875194,0.5385542695205864,-5.598798034119046,-2.6576076400734703,5.425133182409585,2.0284251783161915,13.615194736521827,4.368732710361792,4.881642414838214,0.13194417201719155,-1.9267962559523515e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.871931573806829,-0.44034519650358817,6.4490691184898745e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.315688656890756,0.2149950075540479,-1.8446077192168676e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.411447612721894,-0.3729396889692731,-1.485936832032136e-12,0.0,0.0,0.0,0.0,0.0,0.0,-132.48412997539086,-51.93987299564918,574.9385021557179,-70.81705422022299,-26.984958520741813,146.53454016781083,-188.42636582124615,-166.65931277399795,398.8738244227227,5.190704300292059,0.4291490189984164,25.302705593032236,1,1,1,1
6497501000,6497500000,4.5836451405973735,-0.09229692458574168,0.5652442692651916,-0.020412018535118797,-0.0377560715239145,-0.07295754562402344,0.9964110723486174,0.7830273630221195,0.08875752052461325,-0.5765413150349702,-0.043178839407628386,0.724049347851284,0.5494634251297615,-5.503657126073981,-2.619715814044932,5.599417565812458,1.897671366386923,13.272269779784908,4.359152679905993,4.881642414838214,0.13194417201719155,-1.9267962559523515e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.871931573806829,-0.44034519650358817,6.4490691184898745e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.315688656890756,0.2149950075540479,-1.8446077192168676e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.411447612721894,-0.3729396889692731,-1.485936832032136e-12,0.0,0.0,0.0,0.0,0.0,0.0,-119.36871335795269,-51.26586772720957,568.248067365647,-103.35496881107746,-39.720082482554865,214.9889457611329,-200.6960995459066,-138.26313054182663,392.6756521562411,7.739941615282715,0.6795036676578102,37.61168677539062,1,1,1,1
6500001000,6500000000,4.585585616755142,-0.09208317450638483,0.5638205906534237,-0.02050423426402898,-0.036851645328316265,-0.07224552650575942,0.9964949154480154,0.76939724450097,0.0822601548547877,-0.562331649382625,-0.038592214341603176,0.7567678414225993,0.5603528123094472,-5.3988219854066815,-2.5774472685741907,5.767237557430883,1.772595035821226,12.897162389459332,4.352907631554732,4.881642414838214,0.13194417201719155,-1.9267962559523515e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.871931573806829,-0.44034519650358817,6.4490691184898745e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.315688656890756,0.2149950075540479,-1.8446077192168676e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.411447612721894,-0.3729396889692731,-1.485936832032136e-12,0.0,0.0,0.0,0.0,0.0,0.0,-106.99604913280425,-50.283239482835576,561.7562905294665,-140.00585032971324,-54.30098782423535,292.88675051063285,-211.826964702559,-110.3426941010661,386.0338293361523,10.726639371023145,0.9987981175482488,51.95579689923884,1,1,1,1
6502501000,6502500000,4.587492355324582,-0.09188553119291519,0.5624329539095191,-0.02059331003452058,-0.03590689258686032,-0.071519229161341,0.9965799569059902,0.7560413316222669,0.07587393144794197,-0.5477105142409646,-0.03431092992949411,0.7885083523155245,0.5712306874848084,-5.284292612117152,-2.530802003661245,5.928593157264851,1.653440107605177,12.489886104748614,4.349931348009451,4.881642414838214,0.13194417201719155,-1.9267962559523515e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.871931573806829,-0.44034519650358817,6.4490691184898745e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.315688656890756,0.2149950075540479,-1.8446077192168676e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.411447612721894,-0.3729396889692731,-1.485936832032136e-12,0.0,0.0,0.0,0.0,0.0,0.0,-95.4248946407998,-49.031485846307284,555.4767074501831,-179.84075180707342,-70.44586395857196,378.54747974500225,-220.5175676342133,-85.30843174558231,379.70961029949996,14.11794316706685,1.3928072854635778,68.14966679239474,1,1,1,1
6505001000,6505000000,4.589366072114275,-0.09170370311242708,0.5610823675059767,-0.020679507221013187,-0.03492310781711238,-0.07077865993087797,0.9966660001323812,0.7429838599675653,0.06960979210268134,-0.5326940705894503,-0.030319870146339883,0.819190477876813,0.5821051312615001,-5.16006900620539,-2.479780019306094,6.083484365314365,1.5404578096784074,12.050457024310763,4.350149462325579,4.881642414838214,0.13194417201719155,-1.9267962559523515e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.871931573806829,-0.44034519650358817,6.4490691184898745e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.315688656890756,0.2149950075540479,-1.8446077192168676e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.411447612721894,-0.3729396889692731,-1.485936832032136e-12,0.0,0.0,0.0,0.0,0.0,0.0,-84.71400722279378,-47.55010440140497,549.4228539308043,-221.93072627399857,-87.87290029831212,470.2906587927131,-226.8641392246642,-63.040956468920186,373.70246516227877,17.880998602976828,1.8673060881987174,86.00792728272154,1,1,1,1
6507501000,6507500000,4.591207543521759,-0.09153737137751823,0.5597697995128468,-0.02076306236171322,-0.03390168439588401,-0.07002381889633602,0.9967528459069773,0.730249065118421,0.06347867861761139,-0.517298479407542,-0.026603281824509425,0.8487338589744237,0.5929840286143815,-5.026151167671394,-2.4243813155087395,6.2319111815794255,1.4339066198217132,11.578893878982804,4.353479919218341,4.881642414838214,0.13194417201719155,-1.9267962559523515e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.871931573806829,-0.44034519650358817,6.4490691184898745e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.315688656890756,0.2149950075540479,-1.8446077192168676e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.411447612721894,-0.3729396889692731,-1.485936832032136e-12,0.0,0.0,0.0,0.0,0.0,0.0,-74.92214421964059,-45.878592731908675,543.6082657743368,-265.3468267614395,-106.30028625624861,566.435812982477,-230.9629103576849,-43.420881264692,368.0118640405008,21.982951278305492,2.428069442547296,105.3452091980322,1,1,1,1
6510001000,6510000000,4.593017606533523,-0.09138618974628995,0.558496177597731,-0.020844186666760637,-0.032844114538775074,-0.06925470020164969,0.9968402933882361,0.7178611826563897,0.05749153279133762,-0.5015399016747014,-0.02314475658612268,0.8770581866739493,0.603875050312391,-4.882539096515165,-2.3646058922691804,6.373873606060033,1.3340522225468088,11.07521810936044,4.3598335027180415,4.881642414838214,0.13194417201719155,-1.9267962559523515e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.871931573806829,-0.44034519650358817,6.4490691184898745e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.315688656890756,0.2149950075540479,-1.8446077192168676e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.411447612721894,-0.3729396889692731,-1.485936832032136e-12,0.0,0.0,0.0,0.0,0.0,0.0,-66.10806297219457,-44.05644842159859,538.0464787837878,-309.1601063002282,-125.4462112451242,665.3024676427436,-232.91011191706366,-26.32881912645035,362.6372770501617,26.390946792616546,3.0808722653044356,125.97614336619294,1,1,1,1
6512501000,6512500000,4.594797158725014,-0.09124978462234701,0.5572623890257824,-0.020923065513074168,-0.0317519892700409,-0.06847129238668966,0.9969281411545304,0.7058444481630266,0.0516592964224655,-0.48543449837039065,-0.019927212863519755,0.9040832091149008,0.6147856357456908,-4.729232792736706,-2.300453749587417,6.509371638756188,1.2411674821357117,10.539453948083784,4.369114430357429,4.881642414838214,0.13194417201719155,-1.9267962559523515e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.871931573806829,-0.44034519650358817,6.4490691184898745e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.315688656890756,0.2149950075540479,-1.8446077192168676e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.411447612721894,-0.3729396889692731,-1.485936832032136e-12,0.0,0.0,0.0,0.0,0.0,0.0,-58.330520821310174,-42.123169054254845,532.7510287621644,-352.44161792131973,-145.02886467773476,765.210148102238,-232.80197478657988,-11.645383047800202,357.57817430727255,31.072130745461646,3.831489473263527,147.71536061501345,1,1,1,1
